"age","rel_status","gender","gender_3_TEXT","sex","transgender","transgender_4_TEXT","sexual_attraction","sexual_attraction_4_TEXT","romantic_attraction","romantic_attraction_4_TEXT","attn_check","sex_orient_best","sex_orient_best_9_TEXT","sex_orient_multi","sex_orient_multi_9_TEXT","romantic_orient_best","romantic_orient_best_7_TEXT","rom_orient_multi","rom_orient_multi_7_TEXT","pref_check_1","pref_check_2","pref_check_3","pref_check_4","race","education","sex_with_males","sex_with_females","f_lt_health1","f_lt_health2","f_lt_intell1","f_lt_intell2","f_lt_kind1","f_lt_kind2","f_lt_physatt1","f_lt_physatt2","f_lt_resources1","f_lt_resources2","f_lt_age","m_lt_health1","m_lt_health2","m_lt_intell1","m_lt_intell2","m_lt_kind1","m_lt_kind2","m_lt_physatt1","m_lt_physatt2","m_lt_resources1","m_lt_resources2","m_lt_age","PIN","sexuality","f_lt_health","f_lt_intell","f_lt_kind","f_lt_physatt","f_lt_resources","m_lt_health","m_lt_intell","m_lt_kind","m_lt_physatt","m_lt_resources","ageLik","m_Lt_AgeLik","f_Lt_AgeLik"
"23","2","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","1","6","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,8,8,6,10,5,5,10,9,1,"237",1,NA,NA,NA,NA,NA,9,8,8,5,9.5,1,0,NA
"30","3","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","3","2","1",8,8,8,8,7,8,9,8,8,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"333",1,8,8,7.5,8.5,9,NA,NA,NA,NA,NA,2,NA,0
"31","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,6,7,7,5,7,6,3,"286",1,NA,NA,NA,NA,NA,5.5,6,6.5,6,6.5,2,1,NA
"38","0","0","","0","1","","2","","2","","1","1","","8","","1","","9","","1","1","1","1","6","6","1","1",6,6,8,6,7,7,7,7,8,7,3,5,6,7,6,7,7,7,6,8,7,4,"379",0,6,7,7,7,7.5,5.5,6.5,7,6.5,7.5,3,1,0
"55","0","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","4","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,5,3,10,10,5,10,10,10,2,"452",1,NA,NA,NA,NA,NA,7.5,4,10,7.5,10,6,-4,NA
"26","0","2","","0","4","Nonbinary","2","","3","","1","1","","","","0","","","","1","1","1","1","6","6","1","1",6,6,6,6,5,6,5,5,7,5,2,6,6,6,7,5,7,5,6,7,5,2,"296",0,6,6,5.5,5,6,6,6.5,6,5.5,6,1,1,1
"22","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","2","2","6","5","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9,6,8,8,9,6,7,9,7,1,"230",1,NA,NA,NA,NA,NA,8,7,8.5,6.5,8,1,0,NA
"28","4","0","","0","1","","0","","0","","1","4","","","","3","","","","1","2","1","2","6","7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,8,8,9,9,6,6,8,9,2,"75",1,NA,NA,NA,NA,NA,7.5,8,9,6,8.5,2,0,NA
"40","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","4","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,8,6,6,8,7,5,6,6,4,"409",1,NA,NA,NA,NA,NA,7,7,7,6,6,4,0,NA
"44","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","7","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,7,7,9,9,8,6,8,7,4,"207",1,NA,NA,NA,NA,NA,7.5,7,9,7,7.5,4,0,NA
"31","4","1","","1","1","","0","","0","","1","4","","4","","3","","11","","2","1","2","1","6","6","2","1",7,6,5,5,6,7,8,8,5,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"433",1,6.5,5,6.5,8,5,NA,NA,NA,NA,NA,2,NA,0
"46","2","1","","1","1","","0","","0","","1","4","","","","3","","","","2","1","2","1","6","7","2","1",7,7,8,7,7,8,8,7,7,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"396",1,7,7.5,7.5,7.5,7,NA,NA,NA,NA,NA,5,NA,-1
"33","4","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","2","4","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,7,7,9,10,9,8,10,6,3,"136",1,NA,NA,NA,NA,NA,7,7,9.5,8.5,8,3,0,NA
"35","4","1","","1","1","","0","","0","","1","4","","","","3","","","","2","1","2","1","6","6","2","1",6,6,6,6,6,6,6,6,6,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"228",1,6,6,6,6,6,NA,NA,NA,NA,NA,3,NA,0
"39","0","0","","0","1","","0","","0","","1","4","","4","","3","","11","","1","2","1","2","6","6","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,7,7,7,8,9,8,8,7,3,"213",1,NA,NA,NA,NA,NA,7.5,7,7.5,8.5,7.5,4,-1,NA
"34","1","0","","0","1","","2","","3","","1","7","","7","","2","","10","","1","2","1","1","6","6","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,7,9,10,10,10,10,10,8,9,3,"31",1,NA,NA,NA,NA,NA,8,9.5,10,10,8.5,3,0,NA
